Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu9/1per10.tripinfoP.xmlpriorityVeh,317,1.3690851735,6.82649842271,133.482649842,1274.50432177,9.6872200296
simu9/1per100.tripinfoP.xmlpriorityVeh,32,0.375,3.46875,127.8125,1188.079375,9.33038865632
simu9/1per10.tripinfoP.xmlregularVeh,2852,0.794880785414,9.30259467041,144.431626928,1352.90725105,9.57064441654
simu9/1per1000.tripinfoP.xmlpriorityVeh,4,0.0,5.5,112.25,946.9575,8.49754874728
simu9/1per1000.tripinfoP.xml,3169.0,0.541495739981,5.11549384664,139.431050805,1345.06448406,9.66345255049
simu9/1per1000.tripinfoP.xmlregularVeh,3165,0.542180094787,5.11500789889,139.465402844,1345.56762085,9.66492604661
simu9/1per10.tripinfoP.xml,3169.0,0.852319343642,9.0549069107,143.336383717,1345.06448406,9.58230565647
simu9/1per100.tripinfoP.xml,3169.0,0.50962448722,5.08141369517,139.463553171,1345.06448406,9.66895332205
simu9/1per100.tripinfoP.xmlregularVeh,3137,0.510997768569,5.09786420147,139.58240357,1346.66586229,9.67240696225
