Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu9/1per10.tripinfoST.xml,3169.0,3.15083622594,50.0609024929,188.874408331,1345.06448406,8.19855412419
simu9/1per1000.tripinfoST.xmlregularVeh,3165,3.15481832543,49.9690363349,188.805055292,1345.56762085,8.2005957055
simu9/1per10.tripinfoST.xmlpriorityVeh,317,2.55520504732,42.7476340694,175.066246057,1274.50432177,8.24869318878
simu9/1per100.tripinfoST.xmlregularVeh,3137,2.96812240995,49.7398788652,188.837743067,1346.66586229,8.20101209818
simu9/1per10.tripinfoST.xmlregularVeh,2852,3.21704067321,50.873772791,190.409186536,1352.90725105,8.19298116365
simu9/1per1000.tripinfoST.xml,3169.0,3.15083622594,50.0609024929,188.874408331,1345.06448406,8.19855412419
simu9/1per1000.tripinfoST.xmlpriorityVeh,4,0.0,122.75,243.75,946.9575,6.58315291581
simu9/1per100.tripinfoST.xml,3169.0,3.15083622594,50.0609024929,188.874408331,1345.06448406,8.19855412419
simu9/1per100.tripinfoST.xmlpriorityVeh,32,21.0625,81.53125,192.46875,1188.079375,7.95759586146
