Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu3/1per100.tripinfoP.xmlregularVeh,3157,3.22869813114,37.7998099462,196.839404498,1572.88043396,8.8334839891
simu3/1per100.tripinfoP.xml,3189.0,3.19880840389,37.570398244,196.802759486,1574.57484164,8.83817403669
simu3/1per10.tripinfoP.xml,3189.0,1.24365004704,16.2019441831,172.688303543,1574.57484164,9.39008917837
simu3/1per1000.tripinfoP.xmlregularVeh,3185,2.73249607535,35.5080062794,192.621036107,1575.07351648,9.06119228596
simu3/1per1000.tripinfoP.xmlpriorityVeh,4,0.5,5.75,130.75,1177.505,8.98469250136
simu3/1per100.tripinfoP.xmlpriorityVeh,32,0.25,14.9375,193.1875,1741.73875,9.30087654431
simu3/1per1000.tripinfoP.xml,3189.0,2.72969582941,35.4706804641,192.543430542,1574.57484164,9.06109633139
simu3/1per10.tripinfoP.xmlregularVeh,2870,1.30731707317,16.131010453,172.310801394,1570.35905923,9.37272528096
simu3/1per10.tripinfoP.xmlpriorityVeh,319,0.670846394984,16.8401253918,176.084639498,1612.50366771,9.54630982276
