Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu3/1per1000.tripinfoNP.xmlpriorityVeh,4,0.0,18.75,210.5,1888.6275,10.0331939764
simu3/1per10.tripinfoNP.xml,3153.0,0.65588328576,14.8642562639,167.082461148,1534.93374881,9.5384980685
simu3/1per100.tripinfoNP.xml,3153.0,0.65588328576,14.8642562639,167.082461148,1534.93374881,9.5384980685
simu3/1per1000.tripinfoNP.xml,3153.0,0.65588328576,14.8642562639,167.082461148,1534.93374881,9.5384980685
simu3/1per1000.tripinfoNP.xmlregularVeh,3149,0.65671641791,14.8593204192,167.027310257,1534.48447126,9.53786968374
simu3/1per10.tripinfoNP.xmlpriorityVeh,316,1.05063291139,16.0063291139,166.110759494,1515.78610759,9.51287435201
simu3/1per100.tripinfoNP.xmlpriorityVeh,32,6.0625,11.625,151.21875,1502.5653125,10.0988456118
simu3/1per100.tripinfoNP.xmlregularVeh,3121,0.600448574175,14.89746876,167.245113746,1535.2656264,9.53275275566
simu3/1per10.tripinfoNP.xmlregularVeh,2837,0.611913993655,14.7370461755,167.190694395,1537.06651392,9.54135217298
