Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu3/1per1000.tripinfoST.xmlpriorityVeh,4,0.0,478.75,635.75,1177.505,5.15166492842
simu3/1per1000.tripinfoST.xmlregularVeh,3185,47.8929356358,541.489795918,694.701098901,1575.07351648,5.8784527804
simu3/1per1000.tripinfoST.xml,3189.0,47.8328629664,541.411100659,694.627155848,1574.57484164,5.8775411619
simu3/1per100.tripinfoST.xml,3189.0,47.8328629664,541.411100659,694.627155848,1574.57484164,5.8775411619
simu3/1per10.tripinfoST.xmlpriorityVeh,319,48.4576802508,584.492163009,737.749216301,1612.50366771,5.7963784689
simu3/1per10.tripinfoST.xml,3189.0,47.8328629664,541.411100659,694.627155848,1574.57484164,5.8775411619
simu3/1per100.tripinfoST.xmlpriorityVeh,32,0.09375,496.84375,708.71875,1741.73875,5.91248706627
simu3/1per100.tripinfoST.xmlregularVeh,3157,48.3167564143,541.862844473,694.484320557,1572.88043396,5.87718694304
simu3/1per10.tripinfoST.xmlregularVeh,2870,47.7634146341,536.622648084,689.834146341,1570.35905923,5.88656238109
