tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
242.00;442662524_1;3.23;5.54;185.00;0.00;326309727#2_0;5.10;0.00;tripinfo_185;57.00;185;0;680.61;1.00;13.86;DEFAULT_VEHTYPE;;0
244.00;407596050#0_0;95.95;9.95;173.00;0.00;27026401#0_0;5.10;0.00;tripinfo_173;71.00;173;0;625.80;1.00;13.84;DEFAULT_VEHTYPE;;0
245.00;442662512_1;3.60;8.23;187.00;0.00;27102738#0_0;5.10;0.00;tripinfo_187;58.00;187;0;494.89;1.00;13.49;DEFAULT_VEHTYPE;;0
245.00;358291500_0;81.64;11.09;121.00;0.00;219276442#0_0;5.10;0.00;tripinfo_121;124.00;121;0;1163.28;1.00;19.22;DEFAULT_VEHTYPE;;0
246.00;-444048533_0;109.97;10.87;97.00;0.00;295701557_0;0.20;0.00;tripinfo_97;149.00;97;0;1479.18;1.00;15.10;DEFAULT_VEHTYPE;;0
248.00;326309713#0_0;96.93;10.53;162.00;0.00;126550198_0;5.10;0.00;tripinfo_162;86.00;162;0;992.67;1.00;12.44;DEFAULT_VEHTYPE;;0
248.00;48158102#1_0;42.84;11.06;194.00;0.00;451653183_0;5.10;0.00;tripinfo_194;54.00;194;0;474.17;1.00;10.69;DEFAULT_VEHTYPE;;0
252.00;356686652#0_0;24.34;15.61;133.00;0.00;444048516#0_0;5.10;0.00;tripinfo_133;119.00;133;0;1237.72;1.00;11.54;DEFAULT_VEHTYPE;;0
253.00;208356047#1_0;7.35;7.31;67.00;0.00;-326467649_0;3.49;0.00;tripinfo_67;186.00;67;0;1730.37;1.00;24.03;DEFAULT_VEHTYPE;;0
253.00;326467650_0;3.51;8.64;89.00;2.00;350274427#0_0;5.10;0.00;tripinfo_87;164.00;87;0;1520.28;1.00;27.15;DEFAULT_VEHTYPE;;1
254.00;48156216_0;328.50;7.45;86.00;0.00;229187724#2_0;5.10;0.00;tripinfo_86;168.00;86;0;1509.75;1.00;15.94;DEFAULT_VEHTYPE;;0
