tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
148.00;444048533_0;109.97;10.34;57.00;0.00;444048536#1_0;5.10;0.00;tripinfo_57;91.00;57;0;768.30;1.00;34.16;DEFAULT_VEHTYPE;;21
149.00;287533401#1_1;8.83;10.16;47.00;0.00;-208928182_0;4.49;0.00;tripinfo_47;102.00;47;0;781.12;1.00;29.52;DEFAULT_VEHTYPE;;8
149.00;27103285_0;190.14;8.20;82.00;0.00;219276440#3_0;5.10;0.00;tripinfo_82;67.00;82;0;575.73;1.00;7.88;DEFAULT_VEHTYPE;;0
149.00;126550197_0;40.86;10.25;23.00;0.00;326467643#1_0;5.10;0.00;tripinfo_23;126.00;23;0;773.46;1.00;58.51;DEFAULT_VEHTYPE;;34
150.00;358291500_0;81.64;11.00;93.00;0.00;326467633_0;5.10;0.00;tripinfo_93;57.00;93;0;411.19;1.00;19.89;DEFAULT_VEHTYPE;;5
152.00;208356047#0_0;92.31;7.30;100.00;0.00;477174168#1_0;5.10;0.00;tripinfo_100;52.00;100;0;469.89;1.00;6.05;DEFAULT_VEHTYPE;;0
154.00;326126530#2_0;51.33;10.85;75.00;0.00;326309697_0;5.10;0.00;tripinfo_75;79.00;75;0;737.28;1.00;12.63;DEFAULT_VEHTYPE;;0
157.00;207989397_0;43.54;12.60;74.00;0.00;219276441#0_0;5.10;0.00;tripinfo_74;83.00;74;0;793.26;1.00;9.87;DEFAULT_VEHTYPE;;0
158.00;208928182_0;4.49;9.57;65.00;1.00;48158102#1_0;5.10;0.00;tripinfo_64;93.00;64;0;772.52;1.00;27.39;DEFAULT_VEHTYPE;;13
161.00;326309725#1_0;6.07;7.15;61.00;0.00;326309716#1_0;5.10;0.00;tripinfo_61;100.00;61;0;905.18;1.00;10.62;DEFAULT_VEHTYPE;;0
162.00;451652905#1_1;9.34;10.18;38.00;0.00;471664572#1_0;5.10;0.00;tripinfo_38;124.00;38;0;1052.49;1.00;29.59;DEFAULT_VEHTYPE;;6
164.00;326309727#1_2;40.75;16.41;89.00;0.00;451653573#0_0;5.10;0.00;tripinfo_89;75.00;89;0;718.47;1.00;25.07;DEFAULT_VEHTYPE;;7
168.00;321457778#0_0;234.63;9.82;27.00;0.00;229187724#3_0;4.52;0.00;tripinfo_27;141.00;27;0;1305.02;1.00;17.27;DEFAULT_VEHTYPE;;0
168.00;219276440#0_0;50.69;10.55;16.00;0.00;27103144#2_0;5.10;0.00;tripinfo_16;152.00;16;0;1224.61;1.00;41.11;DEFAULT_VEHTYPE;;7
171.00;48156213_0;92.83;12.94;32.00;0.00;27028176#0_0;5.10;0.00;tripinfo_32;139.00;32;0;788.61;1.00;86.80;DEFAULT_VEHTYPE;;56
171.00;444002075#1_0;163.29;9.97;24.00;0.00;48158102#0_0;5.10;0.00;tripinfo_24;147.00;24;0;1214.95;1.00;34.59;DEFAULT_VEHTYPE;;16
171.00;208928173#2_0;92.51;13.44;40.00;0.00;208356047#1_0;5.10;0.00;tripinfo_40;131.00;40;0;1263.05;1.00;19.83;DEFAULT_VEHTYPE;;4
171.00;326467636#1_0;37.18;9.92;150.00;0.00;326467638#2_0;5.10;0.00;tripinfo_150;21.00;150;0;127.41;1.00;8.85;DEFAULT_VEHTYPE;;0
177.00;326467637#1_0;11.60;9.59;78.00;0.00;219276443#1_0;5.10;0.00;tripinfo_78;99.00;78;0;820.37;1.00;25.06;DEFAULT_VEHTYPE;;7
179.00;-186936338#1_0;118.92;10.51;58.00;0.00;562102993_0;5.10;0.00;tripinfo_58;121.00;58;0;1166.01;1.00;15.70;DEFAULT_VEHTYPE;;0
180.00;27102750#0_0;65.95;10.06;99.00;0.00;287533469#0_0;5.10;0.00;tripinfo_99;81.00;99;0;750.98;1.00;12.72;DEFAULT_VEHTYPE;;3
180.00;244757077_0;57.09;10.55;15.00;0.00;27103144#0_0;5.10;0.00;tripinfo_15;165.00;15;0;1096.52;1.00;72.74;DEFAULT_VEHTYPE;;42
181.00;442662512_2;3.60;12.24;36.00;0.00;326309727#5_0;5.10;0.00;tripinfo_36;145.00;36;0;1081.26;1.00;75.72;DEFAULT_VEHTYPE;;51
182.00;287533469#0_0;161.51;10.82;35.00;0.00;415931799#0_0;5.10;0.00;tripinfo_35;147.00;35;0;1426.21;1.00;15.93;DEFAULT_VEHTYPE;;0
182.00;48207551_0;111.93;10.06;49.00;0.00;451653288_0;5.10;0.00;tripinfo_49;133.00;49;0;654.72;1.00;80.56;DEFAULT_VEHTYPE;;56
185.00;219276440#4_0;97.49;10.90;76.00;0.00;287533429#2_0;5.10;0.00;tripinfo_76;109.00;76;0;723.71;1.00;46.81;DEFAULT_VEHTYPE;;33
189.00;219276441#0_0;79.91;8.09;88.00;0.00;458718920#0_0;5.10;0.00;tripinfo_88;101.00;88;0;963.75;1.00;11.39;DEFAULT_VEHTYPE;;0
190.00;444048516#0_0;93.43;8.03;29.00;0.00;287533401#1_0;5.10;0.00;tripinfo_29;161.00;29;0;1444.57;1.00;19.02;DEFAULT_VEHTYPE;;0
195.00;40171837_0;84.64;11.08;37.00;0.00;350274432_0;5.10;0.00;tripinfo_37;158.00;37;0;1475.95;1.00;20.63;DEFAULT_VEHTYPE;;0
202.00;326467636#0_0;36.17;10.87;188.00;0.00;326467649_0;3.49;0.00;tripinfo_188;14.00;188;0;105.49;1.00;4.03;DEFAULT_VEHTYPE;;0
205.00;219276439#1_0;149.17;9.98;130.00;1.00;444002077_0;5.10;0.00;tripinfo_129;75.00;129;0;646.33;1.00;16.17;DEFAULT_VEHTYPE;;4
206.00;69749637#2_0;7.45;10.01;4.00;0.00;326309727#3_0;5.10;0.00;tripinfo_4;202.00;4;0;1370.89;1.00;75.58;DEFAULT_VEHTYPE;;47
208.00;219276442#0_0;54.54;10.13;92.00;0.00;451653029#3_0;5.10;0.00;tripinfo_92;116.00;92;0;1260.75;1.00;18.18;DEFAULT_VEHTYPE;;0
210.00;253257589#0_0;172.84;9.20;45.00;0.00;444013696#0_0;5.10;0.00;tripinfo_45;165.00;45;0;1336.87;1.00;41.26;DEFAULT_VEHTYPE;;12
211.00;208356047#0_0;92.31;7.24;42.00;0.00;287533399_0;5.10;0.00;tripinfo_42;169.00;42;0;1581.19;1.00;19.09;DEFAULT_VEHTYPE;;0
214.00;27028045#2_0;79.13;10.14;102.00;0.00;415931799#1_0;5.10;0.00;tripinfo_102;112.00;102;0;816.49;1.00;52.19;DEFAULT_VEHTYPE;;36
216.00;130583576_0;82.73;10.66;139.00;0.00;451653183_0;5.10;0.00;tripinfo_139;77.00;139;0;903.41;1.00;13.44;DEFAULT_VEHTYPE;;0
218.00;208004245_0;32.66;13.58;161.00;2.00;407596050#2_0;5.10;0.00;tripinfo_159;57.00;159;0;518.27;1.00;10.56;DEFAULT_VEHTYPE;;0
220.00;287533401#0_1;70.84;10.52;145.00;0.00;477174168#1_0;5.10;0.00;tripinfo_145;75.00;145;0;651.33;1.00;9.81;DEFAULT_VEHTYPE;;0
221.00;207989397_0;43.54;13.70;109.00;0.00;407596050#0_0;5.10;0.00;tripinfo_109;112.00;109;0;1043.94;1.00;16.18;DEFAULT_VEHTYPE;;0
221.00;451653455#1_0;111.75;10.24;72.00;2.00;27028159_0;5.10;0.00;tripinfo_70;149.00;70;0;929.68;1.00;64.98;DEFAULT_VEHTYPE;;42
223.00;295701557_1;0.20;7.24;17.00;0.00;287533429#0_0;5.10;0.00;tripinfo_17;206.00;17;0;2081.77;1.00;24.52;DEFAULT_VEHTYPE;;0
225.00;219276440#0_0;50.69;10.80;62.00;0.00;444002072#0_0;5.10;0.00;tripinfo_62;163.00;62;0;1843.11;1.00;24.67;DEFAULT_VEHTYPE;;0
226.00;326467635#1_0;11.76;8.30;106.00;0.00;219276440#6_0;5.10;0.00;tripinfo_106;120.00;106;0;782.10;1.00;49.57;DEFAULT_VEHTYPE;;22
230.00;477174168#1_1;102.44;10.38;113.00;0.00;444002077_0;5.10;0.00;tripinfo_113;117.00;113;0;1028.89;1.00;21.18;DEFAULT_VEHTYPE;;1
231.00;219276440#2_0;98.85;10.61;111.00;0.00;454586930#2_0;3.28;0.00;tripinfo_111;120.00;111;0;1124.37;1.00;13.28;DEFAULT_VEHTYPE;;0
232.00;27028095_0;219.03;10.05;56.00;0.00;451653288_0;5.10;0.00;tripinfo_56;176.00;56;0;1697.25;1.00;35.04;DEFAULT_VEHTYPE;;4
232.00;444048526#0_0;169.45;10.63;72.00;0.00;358291500_0;5.10;0.00;tripinfo_72;160.00;72;0;1534.40;1.00;17.25;DEFAULT_VEHTYPE;;0
232.00;208356051#0_0;67.50;9.95;115.00;0.00;219276439#1_0;5.10;0.00;tripinfo_115;117.00;115;0;1161.65;1.00;12.00;DEFAULT_VEHTYPE;;0
233.00;350274427#0_0;110.73;9.89;66.00;0.00;444013695#2_0;5.10;0.00;tripinfo_66;167.00;66;0;1243.09;1.00;52.63;DEFAULT_VEHTYPE;;27
233.00;350274432_0;100.23;10.32;157.00;0.00;326467636#0_0;5.10;0.00;tripinfo_157;76.00;157;0;715.95;1.00;11.26;DEFAULT_VEHTYPE;;0
234.00;161357702#0_0;8.17;8.08;94.00;0.00;-326309731#2_0;5.10;0.00;tripinfo_94;140.00;94;0;1217.06;1.00;18.57;DEFAULT_VEHTYPE;;1
235.00;208928182_0;4.49;10.36;132.00;1.00;219276440#5_0;4.35;0.00;tripinfo_131;103.00;131;0;895.49;1.00;25.85;DEFAULT_VEHTYPE;;7
237.00;471664572#1_0;13.81;15.52;192.00;0.00;444002072#1_0;5.10;0.00;tripinfo_192;45.00;192;0;351.85;1.00;23.54;DEFAULT_VEHTYPE;;13
238.00;442662524_1;3.23;8.35;185.00;0.00;326309727#2_0;5.10;0.00;tripinfo_185;53.00;185;0;680.61;1.00;9.37;DEFAULT_VEHTYPE;;0
239.00;477174168#2_1;3.30;4.31;108.00;0.00;349360686_0;0.20;0.00;tripinfo_108;131.00;108;0;1070.53;1.00;34.23;DEFAULT_VEHTYPE;;6
239.00;407596050#0_0;95.95;10.09;173.00;0.00;27026401#0_0;5.10;0.00;tripinfo_173;66.00;173;0;625.80;1.00;9.40;DEFAULT_VEHTYPE;;0
239.00;326309725#1_0;6.07;6.68;26.00;0.00;326467651#0_0;5.10;0.00;tripinfo_26;213.00;26;0;1822.17;1.00;66.20;DEFAULT_VEHTYPE;;30
242.00;326467643#6_0;153.26;10.25;55.00;0.00;218396822_0;5.10;0.00;tripinfo_55;187.00;55;0;1341.67;1.00;70.63;DEFAULT_VEHTYPE;;45
244.00;-326467650_0;3.51;8.36;54.00;0.00;287533427#1_0;5.10;0.00;tripinfo_54;190.00;54;0;1318.56;1.00;78.26;DEFAULT_VEHTYPE;;36
247.00;442662512_1;3.60;8.35;187.00;0.00;27102738#0_0;5.10;0.00;tripinfo_187;60.00;187;0;494.89;1.00;15.24;DEFAULT_VEHTYPE;;0
247.00;48158102#1_0;42.84;10.37;194.00;0.00;451653183_0;5.10;0.00;tripinfo_194;53.00;194;0;474.17;1.00;9.64;DEFAULT_VEHTYPE;;0
251.00;208356047#1_0;7.35;7.80;67.00;0.00;-326467649_0;3.49;0.00;tripinfo_67;184.00;67;0;1730.37;1.00;22.42;DEFAULT_VEHTYPE;;0
251.00;326467650_0;3.51;9.24;87.00;0.00;350274427#0_0;5.10;0.00;tripinfo_87;164.00;87;0;1520.28;1.00;27.08;DEFAULT_VEHTYPE;;0
255.00;-444048533_0;109.97;10.23;97.00;0.00;295701557_0;0.20;0.00;tripinfo_97;158.00;97;0;1479.18;1.00;24.67;DEFAULT_VEHTYPE;;2
256.00;358291500_0;81.64;10.92;121.00;0.00;219276442#0_0;5.10;0.00;tripinfo_121;135.00;121;0;1163.28;1.00;30.13;DEFAULT_VEHTYPE;;8
257.00;48156216_0;328.50;8.32;86.00;0.00;229187724#2_0;5.10;0.00;tripinfo_86;171.00;86;0;1509.75;1.00;18.21;DEFAULT_VEHTYPE;;0
260.00;356686652#0_0;24.34;16.44;133.00;0.00;444048516#0_0;5.10;0.00;tripinfo_133;127.00;133;0;1237.72;1.00;18.90;DEFAULT_VEHTYPE;;0
261.00;326309716#0_0;34.74;7.51;152.00;4.00;407596052_0;5.10;0.00;tripinfo_148;109.00;148;0;1037.29;1.00;13.88;DEFAULT_VEHTYPE;;0
262.00;454586924_0;1.57;7.41;0.00;0.00;287533394_0;5.10;0.00;tripinfo_0;262.00;0;0;2403.92;1.00;75.23;DEFAULT_VEHTYPE;;31
266.00;486259354#0_0;126.51;10.07;11.00;0.00;219276443#2_0;5.10;0.00;tripinfo_11;255.00;11;0;1623.23;1.00;129.72;DEFAULT_VEHTYPE;;83
266.00;40171837_0;84.64;9.84;60.00;0.00;326309727#2_0;5.10;0.00;tripinfo_60;206.00;60;0;1261.87;1.00;89.83;DEFAULT_VEHTYPE;;63
266.00;208352993_0;44.41;10.42;52.00;0.00;219276439#1_0;5.10;0.00;tripinfo_52;214.00;52;0;1826.27;1.00;60.67;DEFAULT_VEHTYPE;;24
269.00;326309725#1_0;6.07;7.35;30.00;0.00;451653573#0_0;5.10;0.00;tripinfo_30;239.00;30;0;1877.55;1.00;89.71;DEFAULT_VEHTYPE;;60
273.00;444048529#1_1;96.76;16.53;132.00;0.00;27103295#5_0;5.10;0.00;tripinfo_132;141.00;132;0;1298.76;1.00;39.71;DEFAULT_VEHTYPE;;22
273.00;-458718922_0;218.71;9.83;190.00;0.00;287533429#2_0;5.10;0.00;tripinfo_190;83.00;190;0;803.52;1.00;13.02;DEFAULT_VEHTYPE;;0
274.00;326309713#0_0;96.93;9.82;162.00;0.00;126550198_0;5.10;0.00;tripinfo_162;112.00;162;0;992.67;1.00;38.17;DEFAULT_VEHTYPE;;21
277.00;477174168#1_1;102.44;10.91;104.00;0.00;407596052_0;5.10;0.00;tripinfo_104;173.00;104;0;1582.74;1.00;29.70;DEFAULT_VEHTYPE;;3
278.00;27026401#0_0;111.80;10.73;86.00;3.00;218873867#1_0;5.10;0.00;tripinfo_83;192.00;83;0;2274.17;1.00;26.52;DEFAULT_VEHTYPE;;1
280.00;326467637#0_0;24.17;10.81;195.00;0.00;326309726#5_0;5.10;0.00;tripinfo_195;85.00;195;0;755.91;1.00;16.65;DEFAULT_VEHTYPE;;0
282.00;219276439#1_0;149.17;10.33;141.00;0.00;295701557_0;0.20;0.00;tripinfo_141;141.00;141;0;1382.44;1.00;16.12;DEFAULT_VEHTYPE;;3
285.00;562603479#2_0;71.94;16.65;107.00;0.00;451653029#2_0;5.10;0.00;tripinfo_107;178.00;107;0;2031.81;1.00;55.45;DEFAULT_VEHTYPE;;33
286.00;27103144#4_0;81.16;10.57;168.00;0.00;-208352993_0;5.10;0.00;tripinfo_168;118.00;168;0;1166.99;1.00;30.01;DEFAULT_VEHTYPE;;9
286.00;326126530#1_0;72.39;10.82;84.00;0.00;477174168#0_0;5.10;0.00;tripinfo_84;202.00;84;0;1931.28;1.00;21.40;DEFAULT_VEHTYPE;;0
291.00;326309727#5_1;35.63;5.25;125.00;3.00;451653455#2_0;5.10;0.00;tripinfo_122;166.00;122;0;1091.89;1.00;84.72;DEFAULT_VEHTYPE;;50
293.00;208356047#1_0;7.35;7.68;80.00;0.00;471664572#3_0;5.10;0.00;tripinfo_80;213.00;80;0;2120.60;1.00;27.46;DEFAULT_VEHTYPE;;0
293.00;358541117_0;203.93;16.62;119.00;0.00;326467636#1_0;5.10;0.00;tripinfo_119;174.00;119;0;1524.35;1.00;59.59;DEFAULT_VEHTYPE;;21
293.00;208352995_0;110.75;11.03;173.00;3.00;218873867#2_0;5.10;0.00;tripinfo_170;120.00;170;0;1095.11;1.00;21.21;DEFAULT_VEHTYPE;;0
293.00;253257589#2_0;12.47;10.45;184.00;0.00;27028143#0_0;5.10;0.00;tripinfo_184;109.00;184;0;1038.80;1.00;14.57;DEFAULT_VEHTYPE;;0
294.00;326309731#0_0;171.42;7.97;98.00;0.00;326309727#1_0;5.10;0.00;tripinfo_98;196.00;98;0;1755.04;1.00;44.24;DEFAULT_VEHTYPE;;12
295.00;326309727#0_0;42.70;16.34;180.00;0.00;349360686_0;0.20;0.00;tripinfo_180;115.00;180;0;1002.60;1.00;25.77;DEFAULT_VEHTYPE;;7
297.00;171797495#0_0;35.80;4.52;144.00;0.00;-287533481_0;5.10;0.00;tripinfo_144;153.00;144;0;1298.58;1.00;24.06;DEFAULT_VEHTYPE;;0
300.00;451653573#2_2;42.42;16.08;46.00;0.00;-444048536#0_0;5.10;0.00;tripinfo_46;254.00;46;0;1986.19;1.00;95.95;DEFAULT_VEHTYPE;;58
301.00;326467635#0_0;34.23;10.84;197.00;0.00;-208004245_0;5.10;0.00;tripinfo_197;104.00;197;0;956.66;1.00;18.59;DEFAULT_VEHTYPE;;0
303.00;287533429#2_1;40.34;16.43;138.00;0.00;451653288_0;5.10;0.00;tripinfo_138;165.00;138;0;2189.93;1.00;28.09;DEFAULT_VEHTYPE;;4
306.00;161357702#2_0;5.04;7.17;19.00;0.00;444002072#1_0;5.10;0.00;tripinfo_19;287.00;19;0;2680.35;1.00;58.15;DEFAULT_VEHTYPE;;24
307.00;444002075#1_0;163.29;10.38;158.00;0.00;326309695_0;5.10;0.00;tripinfo_158;149.00;158;0;1262.85;1.00;32.53;DEFAULT_VEHTYPE;;10
311.00;129176988#0_1;90.93;16.37;103.00;0.00;-287533481_0;5.10;0.00;tripinfo_103;208.00;103;0;1690.91;1.00;47.94;DEFAULT_VEHTYPE;;15
314.00;451653597_0;131.35;10.09;141.00;1.00;208356048#0_0;5.10;0.00;tripinfo_140;173.00;140;0;1588.55;1.00;29.40;DEFAULT_VEHTYPE;;5
314.00;-126665636#1_0;123.66;10.89;135.00;0.00;356686652#1_0;5.10;0.00;tripinfo_135;179.00;135;0;1641.06;1.00;71.44;DEFAULT_VEHTYPE;;44
318.00;208356048#1_0;5.13;10.15;151.00;0.00;189469606_0;3.80;0.00;tripinfo_151;167.00;151;0;1588.98;1.00;17.41;DEFAULT_VEHTYPE;;0
322.00;326309725#0_0;156.27;7.64;130.00;0.00;444002072#1_0;5.10;0.00;tripinfo_130;192.00;130;0;1678.14;1.00;59.00;DEFAULT_VEHTYPE;;34
328.00;48207551_0;111.93;10.96;85.00;0.00;407596050#2_0;5.10;0.00;tripinfo_85;243.00;85;0;1318.79;1.00;130.53;DEFAULT_VEHTYPE;;95
329.00;207989397_0;43.54;12.68;156.00;0.00;219276447_0;5.10;0.00;tripinfo_156;173.00;156;0;1697.86;1.00;20.81;DEFAULT_VEHTYPE;;0
330.00;444013696#0_0;144.11;10.18;96.00;0.00;444048529#1_0;5.10;0.00;tripinfo_96;234.00;96;0;1040.41;1.00;142.68;DEFAULT_VEHTYPE;;112
335.00;206951039_0;3.41;7.00;182.00;0.00;562102993_0;5.10;0.00;tripinfo_182;153.00;182;0;1585.67;1.00;23.34;DEFAULT_VEHTYPE;;0
336.00;442662524_1;3.23;6.56;154.00;0.00;244757077_0;5.10;0.00;tripinfo_154;182.00;154;0;1783.98;1.00;27.52;DEFAULT_VEHTYPE;;0
337.00;208352989_1;48.37;16.55;120.00;0.00;316846222_0;5.10;0.00;tripinfo_120;217.00;120;0;1079.19;1.00;134.47;DEFAULT_VEHTYPE;;98
337.00;287533435#1_0;23.19;13.62;137.00;3.00;219276443#0_0;5.10;0.00;tripinfo_134;200.00;134;0;1392.78;1.00;87.90;DEFAULT_VEHTYPE;;53
339.00;208356048#0_0;259.06;10.34;153.00;0.00;321457779#0_0;5.10;0.00;tripinfo_153;186.00;153;0;1522.87;1.00;42.25;DEFAULT_VEHTYPE;;18
