Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
Poa2/1per10.tripinfo.xmlpriorityVeh,443,1.19864559819,27.9864559819,160.191873589,1274.24941309,8.39186073203
Poa2/1per100.tripinfo.xml,4430.0,2.06162528217,31.4318284424,165.202031603,1300.56579458,8.34733940751
Poa2/1per100.tripinfo.xmlpriorityVeh,45,2.71111111111,34.0222222222,169.666666667,1328.92622222,8.62800721558
Poa2/1per100.tripinfo.xmlregularVeh,4385,2.05496009122,31.4052451539,165.156214367,1300.27475257,8.34445912214
Poa2/1per1000.tripinfo.xml,4430.0,2.06162528217,31.4318284424,165.202031603,1300.56579458,8.34733940751
Poa2/1per10.tripinfo.xml,4430.0,2.06162528217,31.4318284424,165.202031603,1300.56579458,8.34733940751
Poa2/1per1000.tripinfo.xmlpriorityVeh,5,8.4,23.2,125.4,1162.714,9.58483660698
Poa2/1per10.tripinfo.xmlregularVeh,3987,2.15751191372,31.8146476047,165.758715826,1303.48983697,8.34239259367
Poa2/1per1000.tripinfo.xmlregularVeh,4425,2.05446327684,31.4411299435,165.24700565,1300.72155932,8.34594110559
