Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu10/1per1000.tripinfoST.xmlpriorityVeh,4,1.25,60.25,227.5,1560.08,7.24428224431
simu10/1per1000.tripinfoST.xml,3176.0,0.634445843829,24.4732367758,155.976700252,1268.08100756,8.45576443497
simu10/1per10.tripinfoST.xmlpriorityVeh,318,0.949685534591,26.6100628931,160.232704403,1270.99616352,8.21499796094
simu10/1per10.tripinfoST.xml,3176.0,0.634445843829,24.4732367758,155.976700252,1268.08100756,8.45576443497
simu10/1per100.tripinfoST.xml,3176.0,0.634445843829,24.4732367758,155.976700252,1268.08100756,8.45576443497
simu10/1per1000.tripinfoST.xmlregularVeh,3172,0.633669609079,24.4281210593,155.886506936,1267.71278689,8.45729215526
simu10/1per100.tripinfoST.xmlregularVeh,3144,0.633905852417,24.3610050891,155.789122137,1267.53422074,8.46192492803
simu10/1per10.tripinfoST.xmlregularVeh,2858,0.599370188943,24.2354793562,155.503149055,1267.75664801,8.48255370675
simu10/1per100.tripinfoST.xmlpriorityVeh,32,0.6875,35.5,174.40625,1321.8028125,7.85049599234
