Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu10/1per1000.tripinfoNP.xmlpriorityVeh,4,0.75,5.0,161.5,1560.08,9.65377813096
simu10/1per10.tripinfoNP.xml,3176.0,0.602329974811,5.12122166247,131.38790932,1268.08100756,9.72477672753
simu10/1per100.tripinfoNP.xml,3176.0,0.602329974811,5.12122166247,131.38790932,1268.08100756,9.72477672753
simu10/1per1000.tripinfoNP.xml,3176.0,0.602329974811,5.12122166247,131.38790932,1268.08100756,9.72477672753
simu10/1per100.tripinfoNP.xmlpriorityVeh,32,0.625,5.625,136.6875,1321.8028125,9.61795049295
simu10/1per10.tripinfoNP.xmlpriorityVeh,318,0.405660377358,6.43710691824,135.044025157,1270.99616352,9.5936373658
simu10/1per1000.tripinfoNP.xmlregularVeh,3172,0.602143757881,5.12137452711,131.349936948,1267.71278689,9.72486625917
simu10/1per100.tripinfoNP.xmlregularVeh,3144,0.602099236641,5.11609414758,131.333969466,1267.53422074,9.72586401744
simu10/1per10.tripinfoNP.xmlregularVeh,2858,0.624212736179,4.97480755773,130.981105668,1267.75664801,9.73936816105
