Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu10/1per100.tripinfoP.xmlregularVeh,3144,0.682251908397,7.10591603053,133.329516539,1267.53422074,9.67904694521
simu10/1per10.tripinfoP.xml,3176.0,0.84540302267,6.30919395466,132.490554156,1268.08100756,9.69627607698
simu10/1per100.tripinfoP.xml,3176.0,0.685138539043,7.08123425693,133.347921914,1268.08100756,9.67989125018
simu10/1per1000.tripinfoP.xmlregularVeh,3172,0.588902900378,5.17276166456,131.501891551,1267.71278689,9.70981340651
simu10/1per1000.tripinfoP.xml,3176.0,0.589105793451,5.17002518892,131.536838791,1268.08100756,9.70993218152
simu10/1per10.tripinfoP.xmlpriorityVeh,318,0.694968553459,5.99371069182,134.132075472,1270.99616352,9.66869145668
simu10/1per10.tripinfoP.xmlregularVeh,2858,0.862141357593,6.34429671099,132.307907628,1267.75664801,9.69934532445
simu10/1per100.tripinfoP.xmlpriorityVeh,32,0.96875,4.65625,135.15625,1321.8028125,9.76284421362
simu10/1per1000.tripinfoP.xmlpriorityVeh,4,0.75,3.0,159.25,1560.08,9.8041207629
