Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu6/1per100.tripinfoST.xml,3175.0,8.03905511811,61.8560629921,202.258582677,1401.63216063,8.17447738466
simu6/1per100.tripinfoST.xmlpriorityVeh,32,1.96875,92.15625,241.03125,1334.7903125,7.46625820969
simu6/1per1000.tripinfoST.xmlpriorityVeh,4,13.75,112.75,320.25,2040.15,7.80857450728
simu6/1per10.tripinfoST.xml,3175.0,8.03905511811,61.8560629921,202.258582677,1401.63216063,8.17447738466
simu6/1per1000.tripinfoST.xmlregularVeh,3171,8.03185115106,61.7918637654,202.10974456,1400.82671397,8.17493894616
simu6/1per10.tripinfoST.xmlpriorityVeh,318,1.83333333333,47.1918238994,189.078616352,1369.80311321,8.33795105838
simu6/1per10.tripinfoST.xmlregularVeh,2857,8.72978648932,63.4882744137,203.725586279,1405.17491075,8.156281855
simu6/1per1000.tripinfoST.xml,3175.0,8.03905511811,61.8560629921,202.258582677,1401.63216063,8.17447738466
simu6/1per100.tripinfoST.xmlregularVeh,3143,8.10085905186,61.5475660197,201.863824372,1402.31270124,8.18168801578
