Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu6/1per1000.tripinfoNP.xmlregularVeh,3151,358.49285941,2421.79784195,2311.34655665,1261.73566487,4.7660100744
simu6/1per100.tripinfoNP.xmlpriorityVeh,32,823.21875,2766.71875,2168.25,1210.8121875,4.0654264556
simu6/1per10.tripinfoNP.xml,3155.0,358.038351823,2421.27670365,2311.20158479,1261.45323613,4.76463942937
simu6/1per1000.tripinfoNP.xmlpriorityVeh,4,0.0,2010.75,2197.0,1038.97,3.68491380872
simu6/1per10.tripinfoNP.xmlpriorityVeh,316,475.528481013,2357.61392405,2118.96835443,1227.00585443,4.94211970891
simu6/1per10.tripinfoNP.xmlregularVeh,2839,344.960901726,2428.3628038,2332.59845016,1265.2874639,4.74488466772
simu6/1per100.tripinfoNP.xmlregularVeh,3123,353.271853987,2417.73711175,2312.66634646,1261.97213256,4.77180395552
simu6/1per1000.tripinfoNP.xml,3155.0,358.038351823,2421.27670365,2311.20158479,1261.45323613,4.76463942937
simu6/1per100.tripinfoNP.xml,3155.0,358.038351823,2421.27670365,2311.20158479,1261.45323613,4.76463942937
