Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu6/1per10.tripinfoP.xml,3155.0,0.46529318542,4.47385103011,130.096988906,1261.45323613,9.72615358946
simu6/1per100.tripinfoP.xmlpriorityVeh,32,0.3125,1.625,125.53125,1210.8121875,9.66333251848
simu6/1per100.tripinfoP.xmlregularVeh,3123,0.432276657061,4.49343579891,130.169068204,1261.97213256,9.71436722708
simu6/1per10.tripinfoP.xmlpriorityVeh,316,0.46835443038,3.15506329114,125.129746835,1227.00585443,9.85193249808
simu6/1per1000.tripinfoP.xmlregularVeh,3151,357.841954935,2410.65090447,2301.01079023,1261.73566487,4.75542025457
simu6/1per10.tripinfoP.xmlregularVeh,2839,0.464952448045,4.6206410708,130.649876717,1265.2874639,9.71215354187
simu6/1per1000.tripinfoP.xmlpriorityVeh,4,0.0,2010.75,2195.25,1038.97,3.6849589817
simu6/1per1000.tripinfoP.xml,3155.0,357.388272583,2410.14389857,2300.87670365,1261.45323613,4.75406309289
simu6/1per100.tripinfoP.xml,3155.0,0.431061806656,4.46434231379,130.122028526,1261.45323613,9.71384960088
