Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu4/1per1000.tripinfoST.xmlpriorityVeh,4,0.5,15.25,97.0,876.52,9.71604184526
simu4/1per100.tripinfoST.xmlpriorityVeh,32,0.40625,17.96875,135.0,1135.5109375,8.69107294753
simu4/1per100.tripinfoST.xmlregularVeh,3167,0.961161982949,26.496053047,158.286706662,1269.3113988,8.40257178301
simu4/1per10.tripinfoST.xmlpriorityVeh,320,1.078125,25.875,158.975,1272.8681875,8.51036935821
simu4/1per1000.tripinfoST.xml,3199.0,0.955611128478,26.4107533604,158.053766802,1267.97297593,8.4054576965
simu4/1per10.tripinfoST.xml,3199.0,0.955611128478,26.4107533604,158.053766802,1267.97297593,8.4054576965
simu4/1per1000.tripinfoST.xmlregularVeh,3195,0.956181533646,26.4247261346,158.130203443,1268.4630579,8.40381690257
simu4/1per10.tripinfoST.xmlregularVeh,2879,0.941993747829,26.4703021883,157.951372004,1267.42887461,8.39379679628
simu4/1per100.tripinfoST.xml,3199.0,0.955611128478,26.4107533604,158.053766802,1267.97297593,8.4054576965
