Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu4/1per10.tripinfoNP.xmlregularVeh,2879,0.539076068079,4.74435567906,131.02084057,1267.42887461,9.70571102072
simu4/1per1000.tripinfoNP.xmlregularVeh,3195,0.527073552426,4.60281690141,131.149295775,1268.4630579,9.7085691914
simu4/1per10.tripinfoNP.xmlpriorityVeh,320,0.44375,3.40625,131.790625,1272.8681875,9.73449942669
simu4/1per100.tripinfoNP.xml,3199.0,0.5295404814,4.61050328228,131.097843076,1267.97297593,9.70859076123
simu4/1per100.tripinfoNP.xmlregularVeh,3167,0.528260183139,4.61730344174,131.233659615,1269.3113988,9.70848625846
simu4/1per1000.tripinfoNP.xml,3199.0,0.5295404814,4.61050328228,131.097843076,1267.97297593,9.70859076123
simu4/1per1000.tripinfoNP.xmlpriorityVeh,4,2.5,10.75,90.0,876.52,9.72581966475
simu4/1per100.tripinfoNP.xmlpriorityVeh,32,0.65625,3.9375,117.65625,1135.5109375,9.71893326995
simu4/1per10.tripinfoNP.xml,3199.0,0.5295404814,4.61050328228,131.097843076,1267.97297593,9.70859076123
