Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu1/1per100.tripinfoST.xmlpriorityVeh,32,285.53125,1966.15625,1953.875,1386.480625,4.40405744872
simu1/1per10.tripinfoST.xmlregularVeh,2837,206.867818118,1721.24497709,1739.00881213,1271.58121607,4.46901554716
simu1/1per10.tripinfoST.xml,3153.0,205.19156359,1725.12876625,1745.91880748,1274.28627973,4.44688450126
simu1/1per100.tripinfoST.xml,3153.0,205.19156359,1725.12876625,1745.91880748,1274.28627973,4.44688450126
simu1/1per100.tripinfoST.xmlregularVeh,3121,204.367830823,1722.65748158,1743.78660686,1273.1359372,4.44732361234
simu1/1per1000.tripinfoST.xml,3153.0,205.19156359,1725.12876625,1745.91880748,1274.28627973,4.44688450126
simu1/1per1000.tripinfoST.xmlpriorityVeh,4,0.25,1741.75,2128.0,1398.225,4.81647612391
simu1/1per1000.tripinfoST.xmlregularVeh,3149,205.451889489,1725.10765322,1745.43347094,1274.12884725,4.44641502953
simu1/1per10.tripinfoST.xmlpriorityVeh,316,190.142405063,1759.99683544,1807.9556962,1298.57193038,4.24819533282
