Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu1/1per10.tripinfoP.xml,3153,182.6130669,1629.306692,1660.291468,1274.28628,5.271408118
simu1/1per10.tripinfoP.xmlpriorityVeh,316,167.8164557,1719.234177,1770.496835,1298.57193,5.089187146
simu1/1per10.tripinfoP.xmlregularVeh,2837,184.2611914,1619.290095,1648.016214,1271.581216,5.291704849
simu1/1per100.tripinfoP.xml,3153,224.1728513,1803.140818,1810.169363,1274.28628,5.016085521
simu1/1per100.tripinfoP.xmlpriorityVeh,32,351,2038.78125,1958.46875,1386.480625,5.191198654
simu1/1per100.tripinfoP.xmlregularVeh,3121,222.8724768,1800.724768,1808.648831,1273.135937,5.014290064
simu1/1per1000.tripinfoP.xml,3153,186.3780526,1625.782112,1660.106565,1274.28628,5.136588646
simu1/1per1000.tripinfoP.xmlpriorityVeh,4,0,1655.5,2031.5,1398.225,5.946836108
simu1/1per1000.tripinfoP.xmlregularVeh,3149,186.6147983,1625.744363,1659.634805,1274.128847,5.135559434
