Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu1/1per100.tripinfoNP.xmlregularVeh,3121,208.826017302,1712.48542134,1727.65363665,1273.1359372,5.10941867173
simu1/1per1000.tripinfoNP.xml,3153.0,209.382492864,1715.41928322,1730.40659689,1274.28627973,5.1114299459
simu1/1per10.tripinfoNP.xmlregularVeh,2837,212.048290448,1697.10715545,1708.53436729,1271.58121607,5.13487420479
simu1/1per100.tripinfoNP.xml,3153.0,209.382492864,1715.41928322,1730.40659689,1274.28627973,5.1114299459
simu1/1per1000.tripinfoNP.xmlpriorityVeh,4,0.0,2020.5,2388.25,1398.225,5.91438724367
simu1/1per100.tripinfoNP.xmlpriorityVeh,32,263.65625,2001.5625,1998.90625,1386.480625,5.30759202993
simu1/1per10.tripinfoNP.xmlpriorityVeh,316,185.449367089,1879.82278481,1926.7721519,1298.57193038,4.90095095075
simu1/1per10.tripinfoNP.xml,3153.0,209.382492864,1715.41928322,1730.40659689,1274.28627973,5.1114299459
simu1/1per1000.tripinfoNP.xmlregularVeh,3149,209.648459829,1715.03175611,1729.57097491,1274.12884725,5.11040999379
