Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu8/1per100.tripinfoP.xmlregularVeh,3157,0.835920177384,6.28191320874,153.064301552,1491.27745645,9.73430950559
simu8/1per10.tripinfoP.xmlregularVeh,2870,0.844599303136,6.29895470383,153.573867596,1496.800223,9.73891907066
simu8/1per1000.tripinfoP.xmlregularVeh,3185,141.367974882,1225.58053375,1297.68477237,1488.85119623,6.1919787011
simu8/1per10.tripinfoP.xmlpriorityVeh,319,0.41065830721,4.18495297806,144.253918495,1424.76805643,9.86436088272
simu8/1per1000.tripinfoP.xmlpriorityVeh,4,262.5,1402.75,1449.0,2081.6475,5.07728311336
simu8/1per100.tripinfoP.xmlpriorityVeh,32,0.5625,2.4375,132.125,1323.585,10.0088268411
simu8/1per1000.tripinfoP.xml,3189.0,141.519912198,1225.80275949,1297.87456883,1489.59474757,6.19058052538
simu8/1per10.tripinfoP.xml,3189.0,0.801191596112,6.08748824083,152.641580433,1489.59474757,9.75146718544
simu8/1per100.tripinfoP.xml,3189.0,0.833176544371,6.24333646911,152.854186265,1489.59474757,9.73706414803
