Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu8/1per10.tripinfoNP.xmlregularVeh,2855,0.815061295972,7.72469352014,139.286865149,1313.37383187,9.56323763395
simu8/1per1000.tripinfoNP.xmlregularVeh,3169,0.786999053329,7.62795834648,139.35373935,1314.86779741,9.56756760764
simu8/1per100.tripinfoNP.xmlregularVeh,3141,0.788920725883,7.64406240051,139.344794651,1314.12940465,9.56383388571
simu8/1per10.tripinfoNP.xml,3173.0,0.786952410968,7.61991805862,139.400252127,1315.33498267,9.56744918255
simu8/1per100.tripinfoNP.xml,3173.0,0.786952410968,7.61991805862,139.400252127,1315.33498267,9.56744918255
simu8/1per1000.tripinfoNP.xmlpriorityVeh,4,0.75,1.25,176.25,1685.4625,9.47362690534
simu8/1per100.tripinfoNP.xmlpriorityVeh,32,0.59375,5.25,144.84375,1433.67,9.92231316323
simu8/1per10.tripinfoNP.xmlpriorityVeh,318,0.534591194969,6.67924528302,140.418238994,1332.94216981,9.60526041291
simu8/1per1000.tripinfoNP.xml,3173.0,0.786952410968,7.61991805862,139.400252127,1315.33498267,9.56744918255
