Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu8/1per100.tripinfoST.xmlregularVeh,3157,11.2340829902,86.0630345264,234.860310421,1491.27745645,7.95824555344
simu8/1per1000.tripinfoST.xmlregularVeh,3185,11.1381475667,85.4379905808,234.020094192,1488.85119623,7.9641352918
simu8/1per10.tripinfoST.xmlregularVeh,2870,10.981184669,85.7693379791,235.330313589,1496.800223,7.96877724024
simu8/1per10.tripinfoST.xml,3189.0,11.1241768579,85.4528065224,234.116964566,1489.59474757,7.96410396554
simu8/1per1000.tripinfoST.xml,3189.0,11.1241768579,85.4528065224,234.116964566,1489.59474757,7.96410396554
simu8/1per100.tripinfoST.xml,3189.0,11.1241768579,85.4528065224,234.116964566,1489.59474757,7.96410396554
simu8/1per10.tripinfoST.xmlpriorityVeh,319,12.4106583072,82.605015674,223.200626959,1424.76805643,7.92205914307
simu8/1per100.tripinfoST.xmlpriorityVeh,32,0.28125,25.25,160.78125,1323.585,8.54207293513
simu8/1per1000.tripinfoST.xmlpriorityVeh,4,0.0,97.25,311.25,2081.6475,7.93916043575
