Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu7/1per100.tripinfoP.xml,3158.0,189.66371121,1757.8318556,1784.67511083,1251.08970551,5.4193115889
simu7/1per100.tripinfoP.xmlregularVeh,3126,190.638195777,1759.18170186,1784.83685221,1250.84902751,5.41808462847
simu7/1per1000.tripinfoP.xmlregularVeh,3154,173.796131896,1757.55294864,1802.20101458,1251.47921053,5.40554958196
simu7/1per10.tripinfoP.xml,3158.0,493.476250792,3525.07568081,3341.86257125,1251.08970551,3.63269082993
simu7/1per1000.tripinfoP.xml,3158.0,173.575997467,1755.67986067,1800.49366688,1251.08970551,5.40850377212
simu7/1per10.tripinfoP.xmlregularVeh,2842,490.340957072,3499.6312456,3318.00211119,1254.08508445,3.65429765573
simu7/1per1000.tripinfoP.xmlpriorityVeh,4,0.0,278.75,454.25,943.965,7.7378827092
simu7/1per100.tripinfoP.xmlpriorityVeh,32,94.46875,1625.96875,1768.875,1274.6009375,5.53917028628
simu7/1per10.tripinfoP.xmlpriorityVeh,316,521.674050633,3753.91455696,3556.4556962,1224.15025316,3.43836614981
