Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu7/1per10.tripinfoST.xml,3215.0,7.9468118196,59.2951788491,210.158009331,1499.31433593,8.04167302082
simu7/1per100.tripinfoST.xml,3215.0,7.9468118196,59.2951788491,210.158009331,1499.31433593,8.04167302082
simu7/1per10.tripinfoST.xmlpriorityVeh,322,24.6708074534,78.0465838509,211.664596273,1490.67627329,7.98218169049
simu7/1per100.tripinfoST.xmlpriorityVeh,33,11.8787878788,81.303030303,230.666666667,1545.68545455,7.70187813865
simu7/1per1000.tripinfoST.xml,3215.0,7.9468118196,59.2951788491,210.158009331,1499.31433593,8.04167302082
simu7/1per10.tripinfoST.xmlregularVeh,2893,6.08537849983,57.2080884895,209.990321466,1500.27577947,8.04829459302
simu7/1per100.tripinfoST.xmlregularVeh,3182,7.90603394092,59.0669390321,209.94531741,1498.83342866,8.0451969778
simu7/1per1000.tripinfoST.xmlpriorityVeh,4,0.5,19.0,185.5,1697.725,9.71593766248
simu7/1per1000.tripinfoST.xmlregularVeh,3211,7.95608844597,59.3453752725,210.188726254,1499.06717222,8.03958735948
