Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu2/1per10.tripinfoP.xmlpriorityVeh,318,261.619496855,2461.28301887,2462.64465409,1344.63949686,4.67976571833
simu2/1per10.tripinfoP.xmlregularVeh,2860,302.68986014,2327.38811189,2284.98426573,1285.17434965,4.57898874583
simu2/1per1000.tripinfoP.xmlregularVeh,3174,0.485507246377,6.35696282294,134.237555135,1291.11859798,9.70823864094
simu2/1per1000.tripinfoP.xml,3178.0,0.484896161108,6.35368156073,134.232536186,1291.12460667,9.70853599167
simu2/1per1000.tripinfoP.xmlpriorityVeh,4,0.0,3.75,130.25,1295.8925,9.94448380186
simu2/1per100.tripinfoP.xml,3178.0,278.718061674,2347.17086218,2333.66519824,1291.12460667,4.58241875473
simu2/1per100.tripinfoP.xmlpriorityVeh,32,779.59375,2623.15625,2094.625,1454.665,5.30826521882
simu2/1per10.tripinfoP.xml,3178.0,298.580239144,2340.78602895,2302.76148521,1291.12460667,4.58907278525
simu2/1per100.tripinfoP.xmlregularVeh,3146,273.623331214,2344.36363636,2336.09663064,1289.4611316,4.57503570106
