Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu2/1per100.tripinfoNP.xmlpriorityVeh,32,0.4375,5.6875,143.1875,1454.665,10.1817354283
simu2/1per100.tripinfoNP.xmlregularVeh,3146,0.485378258106,6.36045772409,134.14144946,1289.4611316,9.70372277426
simu2/1per1000.tripinfoNP.xmlregularVeh,3174,0.485507246377,6.35696282294,134.237555135,1291.11859798,9.70823864094
simu2/1per10.tripinfoNP.xmlpriorityVeh,318,0.449685534591,4.10377358491,137.405660377,1344.63949686,9.75085984424
simu2/1per1000.tripinfoNP.xml,3178.0,0.484896161108,6.35368156073,134.232536186,1291.12460667,9.70853599167
simu2/1per1000.tripinfoNP.xmlpriorityVeh,4,0.0,3.75,130.25,1295.8925,9.94448380186
simu2/1per10.tripinfoNP.xmlregularVeh,2860,0.488811188811,6.60384615385,133.87972028,1285.17434965,9.70383005282
simu2/1per10.tripinfoNP.xml,3178.0,0.484896161108,6.35368156073,134.232536186,1291.12460667,9.70853599167
simu2/1per100.tripinfoNP.xml,3178.0,0.484896161108,6.35368156073,134.232536186,1291.12460667,9.70853599167
