Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu2/1per10.tripinfoST.xmlpriorityVeh,318,289.952830189,2219.72327044,2189.71069182,1344.63949686,3.97779866929
simu2/1per10.tripinfoST.xml,3178.0,281.228445563,2197.94524858,2176.52108244,1291.12460667,4.04650445361
simu2/1per100.tripinfoST.xmlpriorityVeh,32,780.375,2617.9375,2048.5625,1454.665,4.52669713082
simu2/1per100.tripinfoST.xmlregularVeh,3146,276.151303242,2193.67323586,2177.82263191,1289.4611316,4.04162010343
simu2/1per1000.tripinfoST.xmlregularVeh,3174,281.320100819,2196.96597353,2175.51197227,1291.11859798,4.04569346705
simu2/1per1000.tripinfoST.xml,3178.0,281.228445563,2197.94524858,2176.52108244,1291.12460667,4.04650445361
simu2/1per10.tripinfoST.xmlregularVeh,2860,280.258391608,2195.52377622,2175.05454545,1285.17434965,4.05414376809
simu2/1per1000.tripinfoST.xmlpriorityVeh,4,208.5,2975.0,2977.25,1295.8925,4.69002228931
simu2/1per100.tripinfoST.xml,3178.0,281.228445563,2197.94524858,2176.52108244,1291.12460667,4.04650445361
