Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu5/1per100.tripinfoNP.xml,3142.0,2.09388924252,8.85518777849,149.08752387,1407.28059835,9.58970420839
simu5/1per100.tripinfoNP.xmlregularVeh,3110,2.1115755627,8.90192926045,149.181993569,1408.29968167,9.59367198309
simu5/1per10.tripinfoNP.xmlpriorityVeh,315,4.01904761905,12.3523809524,143.057142857,1310.60196825,9.40411803394
simu5/1per10.tripinfoNP.xmlregularVeh,2827,1.87937743191,8.46551114255,149.759462328,1418.05306686,9.61038324799
simu5/1per1000.tripinfoNP.xmlregularVeh,3138,2.0965583174,8.86392606756,149.075525813,1407.15873168,9.58966968884
simu5/1per1000.tripinfoNP.xml,3142.0,2.09388924252,8.85518777849,149.08752387,1407.28059835,9.58970420839
simu5/1per10.tripinfoNP.xml,3142.0,2.09388924252,8.85518777849,149.08752387,1407.28059835,9.58970420839
simu5/1per1000.tripinfoNP.xmlpriorityVeh,4,0.0,2.0,158.5,1502.885,9.61678479474
simu5/1per100.tripinfoNP.xmlpriorityVeh,32,0.375,4.3125,139.90625,1308.2384375,9.20408610494
