Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu5/1per10.tripinfoST.xmlpriorityVeh,315,34.9047619048,159.971428571,275.257142857,1310.60196825,7.52600559255
simu5/1per10.tripinfoST.xmlregularVeh,2827,18.848956491,175.73717722,319.007074637,1418.05306686,7.61011615067
simu5/1per1000.tripinfoST.xml,3142.0,20.4586250796,174.15658816,314.620942075,1407.28059835,7.60168367906
simu5/1per100.tripinfoST.xml,3142.0,20.4586250796,174.15658816,314.620942075,1407.28059835,7.60168367906
simu5/1per100.tripinfoST.xmlregularVeh,3110,20.659807074,174.922829582,315.305144695,1408.29968167,7.60178067349
simu5/1per1000.tripinfoST.xmlpriorityVeh,4,0.0,261.0,455.0,1502.885,7.03784308258
simu5/1per1000.tripinfoST.xmlregularVeh,3138,20.4847036329,174.045889101,314.442001275,1407.15873168,7.60240240512
simu5/1per10.tripinfoST.xml,3142.0,20.4586250796,174.15658816,314.620942075,1407.28059835,7.60168367906
simu5/1per100.tripinfoST.xmlpriorityVeh,32,0.90625,99.6875,248.125,1308.2384375,7.59225703262
