Scenario,Total number of vehicles,Average departure delay,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
simu5/1per100.tripinfoP.xmlpriorityVeh,32,0.59375,36.5,171.46875,1308.2384375,8.84573047273
simu5/1per100.tripinfoP.xmlregularVeh,3110,2.83022508039,19.7122186495,159.545016077,1408.29968167,9.43621075185
simu5/1per100.tripinfoP.xml,3142.0,2.80744748568,19.8831954169,159.666454488,1407.28059835,9.43019694888
simu5/1per10.tripinfoP.xmlpriorityVeh,315,3.92698412698,10.7015873016,141.501587302,1310.60196825,9.4841621438
simu5/1per1000.tripinfoP.xmlpriorityVeh,4,0.0,2.0,158.5,1502.885,9.61678479474
simu5/1per10.tripinfoP.xmlregularVeh,2827,1.84082065794,8.35443933498,149.821011673,1418.05306686,9.60022144368
simu5/1per1000.tripinfoP.xml,3142.0,2.09388924252,8.85518777849,149.08752387,1407.28059835,9.58970420839
simu5/1per1000.tripinfoP.xmlregularVeh,3138,2.0965583174,8.86392606756,149.075525813,1407.15873168,9.58966968884
simu5/1per10.tripinfoP.xml,3142.0,2.04996817314,8.58975175048,148.986950987,1407.28059835,9.58858596326
