Scenario,Total number of vehicles,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
"Poa4/1per10,tripinfo,xml",2725,413.2130642,295.6623853,2203.331189,8.009297867
"Poa4/1per10,tripinfo,xmlpriorityVeh",273,407.978022,295.989011,2202.630952,7.979426681
"Poa4/1per10,tripinfo,xmlregularVeh",2452,413.7959217,295.6260196,2203.409152,8.012623656
"Poa4/1per100,tripinfo,xml",2725,413.2130642,295.6623853,2203.331189,8.009297867
"Poa4/1per100,tripinfo,xmlpriorityVeh",28,462.8928571,309.3214286,2154.760714,7.538478501
"Poa4/1per100,tripinfo,xmlregularVeh",2697,412.6972933,295.5205784,2203.835443,8.01418587
"Poa4/1per1000,tripinfo,xml",2725,413.2130642,295.6623853,2203.331189,8.009297867
"Poa4/1per1000,tripinfo,xmlpriorityVeh",3,495.8333333,317,2187.543333,7.813498309
"Poa4/1per1000,tripinfo,xmlregularVeh",2722,413.1220059,295.6388685,2203.348589,8.009513664
