Scenario,Total number of vehicles,Average vehicular waiting time,Average vehicular travel time,Average vehicular travel length,Average vehicular travel speed
"Poa4/1per10,tripinfo,xml",2725,"285,900770642","193,986055046","2203,33118899","11,4907068929"
"Poa4/1per10,tripinfo,xmlpriorityVeh",273,"278,461538462","189,692307692","2202,63095238","11,7196504177"
"Poa4/1per10,tripinfo,xmlregularVeh",2452,"286,72903752","194,46411093","2203,40915171","11,4652168512"
"Poa4/1per100,tripinfo,xml",2725,"287,358752294","196,291376147","2203,33118899","11,4005073353"
"Poa4/1per100,tripinfo,xmlpriorityVeh",28,"305,071428571","184,428571429","2154,76071429","11,7994601853"
"Poa4/1per100,tripinfo,xmlregularVeh",2697,"287,174860957","196,414534668","2203,83544309","11,3963654444"
"Poa4/1per1000,tripinfo,xml",2725,"287,114715596","196,855779817","2203,33118899","11,3784805565"
"Poa4/1per1000,tripinfo,xmlpriorityVeh",3,"338,833333333",193,"2187,54333333","11,4897633288"
"Poa4/1per1000,tripinfo,xmlregularVeh",2722,"287,057714916","196,86002939","2203,34858927","11,3783579084"
